0,1,2,3,4,5,6,7
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Century Paper,22.71,22.99,23.89,22.6,23.5,0.79,"149,274"
Cherat Packaging,99.51,97.1,99.0,97.1,98.99,-0.52,"25,618"
Int. Packaging Films,21.21,21.25,21.25,21.0,21.0,-0.21,"31,190"
MACPAC Films,14.80,14.71,14.9,14.6,14.79,-0.01,"13,072"
Merit Packaging,9.55,9.8,9.8,8.55,9.01,-0.54,"171,359"
Packages Ltd.,529.96,525.0,525.0,515.0,522.5,-7.46,319
Pak Paper Prod,147.28,142.1,147.0,142.0,147.0,-0.28,"1,880"
Roshan Packages,14.56,14.52,14.54,14.3,14.5,-0.06,"14,087"
Security Paper,156.77,156.0,156.0,155.0,155.0,-1.77,"3,883"
SPEL LimitedXD,40.40,40.85,41.52,40.4,41.1,0.7,"537,702"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Abbott Lab.,950.75,950.76,959.0,950.76,954.0,3.25,639
AGP Limited,184.75,184.75,185.0,182.01,183.92,-0.83,"45,907"
BF Biosciences,154.48,158.98,159.0,155.5,156.01,1.53,"501,198"
Citi Pharma Ltd,78.24,81.0,82.88,81.0,82.3,4.06,"2,473,370"
Ferozsons (Lab),291.53,291.0,294.8,288.0,290.01,-1.52,"4,387"
GlaxoSmithKline,375.63,378.0,378.0,366.2,369.88,-5.75,"323,732"
Haleon Pakistan,740.93,747.0,748.43,739.0,739.0,-1.93,"3,099"
Highnoon (Lab),914.79,902.0,908.76,901.1,908.5,-6.29,"11,164"
Hoechst Pak Ltd,"3,397.93",3204.02,3459.0,3203.33,3459.0,61.07,29
IBL HealthCare,35.24,35.55,38.6,34.52,37.6,2.36,"703,856"
Liven Pharma,58.61,60.99,60.99,57.8,59.48,0.87,"5,555"
Macter Int. Ltd,351.67,351.67,351.67,340.0,340.0,-11.67,"2,475"
Otsuka Pak,189.53,189.51,192.0,189.4,192.0,2.47,"1,639"
The Searle Company,82.57,83.0,86.0,81.59,85.39,2.82,"2,547,325"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Altern Energy,12.10,12.05,12.1,11.9,11.9,-0.2,"295,998"
Engro Powergen,28.07,28.14,28.45,27.97,27.99,-0.08,"188,095"
Hub Power Co.,138.71,138.5,140.5,137.6,139.8,1.09,"3,968,022"
K-Electric Ltd.,4.34,4.31,4.45,4.29,4.35,0.01,"3,789,363"
Kohinoor Energy,16.59,16.89,16.99,16.8,16.99,0.4,"113,910"
Kot Addu Power,31.48,31.48,31.5,31.12,31.32,-0.16,"72,659"
Lalpir Power,24.02,23.9,24.45,23.9,24.2,0.18,"109,732"
Nishat ChunPowerXD,24.05,24.24,24.26,24.0,24.26,0.21,"87,592"
Nishat PowerXD,36.53,36.53,36.8,36.0,36.5,-0.03,"49,628"
Pakgen PowerXD,120.53,122.0,122.0,119.0,120.0,-0.53,24
S.G.Power,7.00,7.12,7.4,7.12,7.2,0.2,"1,442,563"
Saif Power Ltd,11.42,11.49,11.55,11.39,11.5,0.08,"40,605"
Tri-Star Power,6.50,6.55,7.3,6.55,6.84,0.34,"2,096,146"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
B.R.R Guardia Ltd,21.38,23.45,23.45,20.11,20.11,-1.27,3
Javedan Corp.,59.80,60.49,60.5,57.0,59.25,-0.55,"28,084"
Pace (Pak) Ltd.,5.23,5.23,5.28,5.18,5.18,-0.05,"338,272"
TPL Properties,8.26,8.31,8.42,8.2,8.27,0.01,"641,130"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Dolmen City,26.01,26.5,26.5,25.95,26.01,,"178,186"
Globe Residency,15.70,17.0,17.0,15.42,15.49,-0.21,"9,772"
TPL REIT Fund I,13.80,13.0,13.0,13.0,13.0,-0.8,100
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Refinery,557.41,560.0,578.0,550.0,572.01,14.6,"275,433"
Cnergyico PK,7.33,7.25,7.34,7.17,7.3,-0.03,"3,196,343"
National Refinery,193.96,193.8,202.8,192.0,201.0,7.04,"375,004"
Pak Refinery,29.55,29.6,30.55,29.02,30.45,0.9,"5,961,559"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Abdullah Shah,5.68,5.55,5.84,5.51,5.63,-0.05,"1,003"
Adam Sugar,49.91,50.5,50.5,50.5,50.5,0.59,7
Al-Abbas Sugar,782.47,805.0,805.0,761.1,805.0,22.53,401
AL-Noor Sugar,75.88,77.92,78.0,77.92,78.0,2.12,112
Chashma Sugar,65.97,65.99,71.5,65.99,71.5,5.53,"3,631"
Dewan Sugar,5.57,5.75,5.75,5.52,5.52,-0.05,2
Habib Sugar,72.74,71.01,72.73,71.01,72.73,-0.01,107
Haseeb Waqas Sugar,9.59,10.24,10.24,9.4,9.4,-0.19,"26,504"
J.D.W.Sugar,913.82,913.82,940.0,900.1,940.0,26.18,49
Jauharabad Sug,45.20,45.0,45.0,43.0,43.0,-2.2,"39,989"
Mirpurkhas Sugar,27.92,28.0,29.0,28.0,28.5,0.58,"3,800"
Sakrand Sugar,11.83,11.9,11.9,11.75,11.75,-0.08,"7,253"
Sanghar Sugar,55.39,57.85,60.0,52.1,52.1,-3.29,"1,004"
Shahmurad Sugar,359.46,361.68,361.68,361.68,361.68,2.22,116
Shakarganj Limited,68.07,68.07,71.99,64.16,66.25,-1.82,"3,159"
Tandlianwala Sugar,152.16,167.38,167.38,137.01,167.38,15.22,524
Tariq Corp Ltd.,14.61,14.9,15.1,14.9,15.0,0.39,"17,000"
Tariq Corp(Pref),8.11,8.99,8.99,8.99,8.99,0.88,1
Thal Ind.Corp.,321.01,333.0,333.0,333.0,333.0,11.99,1
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Gatron Ind.,112.43,112.43,112.43,109.0,110.0,-2.43,"1,517"
Image PakistanXD,21.38,21.5,21.95,21.17,21.5,0.12,"199,377"
National Silk,42.05,37.85,46.25,37.85,40.25,-1.8,102
Pak Synthetics,46.98,47.97,49.0,47.97,49.0,2.02,"7,230"
Rupali Polyester,14.81,14.98,14.99,14.98,14.99,0.18,"2,000"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Air Link Commun,154.88,155.8,157.0,154.9,155.0,0.12,"269,232"
Avanceon Ltd,47.20,47.5,47.9,46.25,47.21,0.01,"542,617"
Hum Network,12.93,12.81,12.81,12.66,12.75,-0.18,"38,862"
Media Times Ltd,1.82,1.76,1.94,1.73,1.9,0.08,"140,762"
Netsol Tech.,134.11,135.0,137.0,133.1,136.0,1.89,"348,702"
Octopus Digital,46.92,47.58,48.47,46.12,48.25,1.33,"196,337"
P.T.C.L.,20.13,20.13,20.8,20.13,20.65,0.52,"2,345,611"
Pak Datacom,103.74,106.0,106.0,100.86,101.2,-2.54,"6,153"
Supernet Technologie,800.00,799.99,800.0,799.99,799.99,-0.01,20
Symmetry Group Ltd,14.23,14.34,15.18,14.23,14.94,0.71,"3,160,657"
Systems LimitedXD,537.33,543.0,543.0,536.0,542.5,5.17,"32,229"
Telecard Limited,6.99,6.91,7.03,6.88,6.95,-0.04,"682,882"
TPL Corp Ltd,4.36,4.49,4.49,4.27,4.38,0.02,"238,228"
TPL Trakker Ltd,6.59,6.75,6.75,5.9,6.15,-0.44,"723,670"
TRG Pak Ltd,63.29,64.02,65.0,63.49,64.19,0.9,"1,045,554"
WorldCall Telecom,1.26,1.26,1.27,1.24,1.26,,"7,874,775"
Zarea Limited,15.62,15.65,15.8,15.5,15.7,0.08,"158,716"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AN Textile Mill,9.79,10.79,10.79,10.0,10.79,1.0,"5,221"
Artistic Denim,39.51,38.91,39.05,38.8,39.0,-0.51,"1,601"
Aruj Industries,7.71,8.16,8.16,7.74,8.05,0.34,8
Azgard Nine,7.63,7.6,7.72,7.52,7.68,0.05,"54,113"
Chenab Limited,6.15,6.0,6.23,5.76,6.18,0.03,108
Chenab Ltd.(Pre,2.46,2.46,2.48,2.35,2.48,0.02,194
Crescent Tex.,13.40,13.26,13.26,13.26,13.26,-0.14,200
Fazal Cloth,133.76,133.76,140.4,126.14,140.4,6.64,"1,090"
Feroze 1888,60.03,60.0,60.0,60.0,60.0,-0.03,10
Ghazi Fabrics,10.17,10.5,11.18,10.01,10.2,0.03,"132,386"
Gul Ahmed,22.53,22.51,22.81,22.45,22.51,-0.02,"4,246"
Hala Enterprise,10.95,10.75,10.75,10.75,10.75,-0.2,"5,000"
Int.Knitwear,14.26,14.5,14.5,14.5,14.5,0.24,1
Interloop Ltd.,57.12,57.5,57.5,56.28,56.55,-0.57,"63,607"
Khyber Textile,889.21,978.13,978.13,978.13,978.13,88.92,11
Kohinoor Ind.,10.08,10.1,10.1,10.0,10.0,-0.08,"3,191"
Kohinoor Mills,31.92,34.95,35.11,34.95,35.11,3.19,"1,885"
Kohinoor Textile,156.49,160.0,160.0,155.5,155.5,-0.99,102
Mehmood Tex.,316.11,316.0,316.0,310.0,316.0,-0.11,142
Nishat (Chun.),36.45,36.2,36.21,36.0,36.0,-0.45,"10,081"
Nishat Mills Ltd,113.79,113.99,115.0,112.1,114.0,0.21,"264,137"
Paramount Sp,3.36,3.59,3.59,3.24,3.59,0.23,"1,919"
Quetta Textile,11.63,11.05,11.62,11.05,11.1,-0.53,54
Sapphire Fiber,"1,069.00",1057.5,1057.5,1057.5,1057.5,-11.5,2
Sapphire Tex.,"1,100.00",1073.6,1073.6,1073.6,1073.6,-26.4,2
Shams Textile,25.04,26.0,26.75,26.0,26.75,1.71,"2,207"
Stylers Int.Ltd.XD,39.00,40.87,40.87,40.87,40.87,1.87,1
Suraj Cotton Mills,112.10,112.1,115.0,112.1,115.0,2.9,750
Towellers Limited,121.47,124.0,124.0,115.0,121.0,-0.47,"6,142"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Ali Asghar Textile,41.05,42.0,42.0,41.0,41.0,-0.05,2
Amtex Limited,2.65,2.76,2.78,2.65,2.74,0.09,"11,150"
Arctic Textile,19.53,19.12,19.7,19.0,19.7,0.17,"3,685"
Asim Textile,12.95,13.0,13.9,13.0,13.9,0.95,"50,000"
Bilal Fibres,19.59,18.5,19.45,18.5,19.0,-0.59,"34,490"
Chakwal Spinning,45.03,46.0,47.99,42.26,46.98,1.95,"189,373"
Colony Tex.Mills Ltd,3.52,3.6,3.64,3.52,3.52,,"18,554"
D.S. Ind. Ltd.,4.51,4.57,4.57,4.22,4.46,-0.05,"20,922"
Dewan Farooque Sp.,3.07,2.96,3.08,2.96,2.96,-0.11,"6,250"
Dewan Mushtaq,9.80,8.86,9.01,8.86,9.0,-0.8,965
Gadoon Textile,300.21,310.4,327.0,308.99,324.0,23.79,"17,280"
Gulistan Sp.,7.90,7.26,8.44,7.11,7.5,-0.4,"10,181"
Hira Textile,3.06,3.2,3.2,3.07,3.1,0.04,"86,209"
Idrees Textile,16.93,16.9,16.9,16.9,16.9,-0.03,585
Indus Dyeing,141.25,143.9,144.0,140.5,142.0,0.75,"31,807"
J.A.Textile,20.35,20.5,21.83,20.5,21.5,1.15,"2,920"
Khalid Siraj,7.70,7.71,7.71,7.71,7.71,0.01,1
Kohinoor Spining,5.16,5.22,5.28,5.05,5.18,0.02,"2,266,967"
Reliance Cotton,423.63,464.63,464.63,440.05,452.98,29.35,73
Ruby Textile,7.22,7.0,7.22,7.0,7.22,,15
Sally Textile,7.80,8.0,8.0,8.0,8.0,0.2,500
Sana Ind.,23.46,0,0,0,0,,483
Saritow Spinning,13.10,12.9,12.9,11.82,12.14,-0.96,"11,000"
Service Ind Tex,12.06,12.74,12.74,12.61,12.61,0.55,515
Sunrays Textile,204.38,213.0,217.35,196.06,212.99,8.61,"21,479"
Tata Textile,40.02,40.0,41.9,40.0,41.69,1.67,609
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Ashfaq Textile,13.26,14.4,14.4,14.4,14.4,1.14,50
ICC Industries,10.10,10.44,10.44,9.74,9.74,-0.36,403
Shahtaj Textile,70.00,63.95,63.95,63.95,63.95,-6.05,1
Yousuf Weaving,3.61,3.65,3.65,3.55,3.6,-0.01,"302,974"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Khyber Tobacco,356.92,351.11,363.0,351.11,354.01,-2.91,"10,490"
Pak TobaccoXD,"1,185.00",1171.01,1189.55,1171.01,1180.0,-5.0,294
Philip Morris Pak.,"1,081.19",1095.99,1095.99,1075.0,1080.0,-1.19,100
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Cordoba Logist,14.42,14.73,15.59,13.71,15.0,0.58,"40,930"
P.N.S.C,258.62,259.01,261.99,257.0,258.0,-0.62,"10,726"
Pak Int.Bulk,8.64,8.62,8.7,8.46,8.6,-0.04,"2,738,678"
Pak.Int.Container,38.59,38.5,38.53,38.11,38.45,-0.14,"16,687"
Secure Logistics Gro,15.08,15.14,15.39,15.0,15.23,0.15,"599,697"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Punjab Oil,205.86,210.0,210.0,190.03,198.15,-7.71,"4,079"
S.S.Oil,690.80,750.0,759.88,740.0,759.88,69.08,"31,528"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Bannu Woollen,30.65,30.0,30.98,30.0,30.18,-0.47,"5,410"
